attack_a,attack_a_label,attack_b,attack_b_label,id_roc_auc,ood_roc_auc,id_balanced_accuracy,ood_balanced_accuracy
1,additive_gaussian,2,geometric_shift,1.0,0.5372,0.9996,0.501
1,additive_gaussian,3,blended_checkered,1.0,1.0,0.9998,0.9998
1,additive_gaussian,4,backdoor_trigger,1.0,0.5222,0.9998,0.5004
1,additive_gaussian,5,ood_mnist,1.0,0.0208,0.9998,0.4998
2,geometric_shift,1,additive_gaussian,0.9999,0.6513,0.9946,0.581
2,geometric_shift,3,blended_checkered,0.9992,0.3662,0.9658,0.4665
2,geometric_shift,4,backdoor_trigger,0.9999,0.4455,0.9958,0.4992
2,geometric_shift,5,ood_mnist,0.9999,0.8196,0.995,0.5133
3,blended_checkered,1,additive_gaussian,1.0,0.6112,1.0,0.5
3,blended_checkered,2,geometric_shift,1.0,0.5604,1.0,0.5
3,blended_checkered,4,backdoor_trigger,1.0,0.417,1.0,0.5
3,blended_checkered,5,ood_mnist,1.0,0.0558,1.0,0.5
4,backdoor_trigger,1,additive_gaussian,0.9961,0.654,0.9648,0.596
4,backdoor_trigger,2,geometric_shift,0.9972,0.4587,0.9685,0.4952
4,backdoor_trigger,3,blended_checkered,0.9876,0.3219,0.9406,0.4723
4,backdoor_trigger,5,ood_mnist,0.9949,0.8274,0.9635,0.7631
5,ood_mnist,1,additive_gaussian,1.0,0.3637,0.999,0.4998
5,ood_mnist,2,geometric_shift,1.0,0.5129,0.9996,0.5
5,ood_mnist,3,blended_checkered,1.0,0.1135,0.9994,0.4994
5,ood_mnist,4,backdoor_trigger,1.0,0.4593,0.9998,0.5006
