train_attacks,n_train_attacks,test_attack,test_attack_label,id_roc_auc,ood_roc_auc,ood_balanced_accuracy
2,1,1,additive_gaussian,1.0,0.5578,0.5029
3,1,1,additive_gaussian,1.0,0.7633,0.5
4,1,1,additive_gaussian,0.9999,0.6088,0.5229
5,1,1,additive_gaussian,1.0,0.3131,0.4994
"2,3",2,1,additive_gaussian,1.0,0.6215,0.5252
"2,3,4",3,1,additive_gaussian,0.9962,0.8755,0.7658
"2,3,4,5",4,1,additive_gaussian,1.0,0.6867,0.5588
1,1,2,geometric_shift,1.0,0.5827,0.5006
3,1,2,geometric_shift,1.0,0.6186,0.5
4,1,2,geometric_shift,0.9999,0.45,0.4992
5,1,2,geometric_shift,1.0,0.5077,0.4994
"1,3",2,2,geometric_shift,1.0,0.5815,0.501
"1,3,4",3,2,geometric_shift,1.0,0.4711,0.501
"1,3,4,5",4,2,geometric_shift,1.0,0.4486,0.5002
1,1,3,blended_checkered,1.0,1.0,1.0
2,1,3,blended_checkered,1.0,0.9157,0.7219
4,1,3,blended_checkered,0.9999,0.4085,0.4992
5,1,3,blended_checkered,1.0,0.1717,0.5
"1,2",2,3,blended_checkered,1.0,1.0,0.9996
"1,2,4",3,3,blended_checkered,1.0,1.0,0.9983
"1,2,4,5",4,3,blended_checkered,1.0,0.9999,0.9844
1,1,4,backdoor_trigger,1.0,0.5162,0.5002
2,1,4,backdoor_trigger,1.0,0.4408,0.4996
3,1,4,backdoor_trigger,1.0,0.4334,0.5
5,1,4,backdoor_trigger,1.0,0.449,0.5008
"1,2",2,4,backdoor_trigger,1.0,0.3996,0.5006
"1,2,3",3,4,backdoor_trigger,1.0,0.3957,0.5012
"1,2,3,5",4,4,backdoor_trigger,1.0,0.435,0.5023
1,1,5,ood_mnist,1.0,0.0099,0.5
2,1,5,ood_mnist,1.0,0.8989,0.4996
3,1,5,ood_mnist,1.0,0.1088,0.5
4,1,5,ood_mnist,0.9999,0.8216,0.6356
"1,2",2,5,ood_mnist,1.0,0.6345,0.5
"1,2,3",3,5,ood_mnist,1.0,0.3928,0.5
"1,2,3,4",4,5,ood_mnist,1.0,0.8834,0.6623
