train_attacks,n_train_attacks,test_attack,test_attack_label,hybrid_id_roc_auc,hybrid_ood_roc_auc,baseline_ood_roc_auc,generalization_ood_roc_auc,hybrid_minus_gen,hybrid_minus_baseline
2,1,1,additive_gaussian,0.8929,0.46,0.7115,0.4599,0.0001,-0.2515
3,1,1,additive_gaussian,1.0,0.9357,0.672,0.7503,0.1854,0.2637
4,1,1,additive_gaussian,0.7434,0.8108,0.5867,0.624,0.1868,0.2241
5,1,1,additive_gaussian,1.0,0.3843,0.3501,0.3261,0.0582,0.0342
"2,3",2,1,additive_gaussian,0.8881,0.7804,,0.836,-0.0556,
"2,3,4",3,1,additive_gaussian,0.7662,0.9035,,0.7752,0.1283,
"2,3,4,5",4,1,additive_gaussian,0.7639,0.889,,0.6539,0.2351,
1,1,2,geometric_shift,0.9994,0.531,0.5481,0.5534,-0.0224,-0.0171
3,1,2,geometric_shift,1.0,0.5217,0.5484,0.5946,-0.0729,-0.0267
4,1,2,geometric_shift,0.7356,0.5073,0.4582,0.4568,0.0505,0.0491
5,1,2,geometric_shift,1.0,0.5364,0.5155,0.5163,0.0201,0.0209
"1,3",2,2,geometric_shift,0.9994,0.5402,,0.5567,-0.0165,
"1,3,4",3,2,geometric_shift,0.9978,0.541,,0.4687,0.0723,
"1,3,4,5",4,2,geometric_shift,0.9961,0.561,,0.4794,0.0816,
1,1,3,blended_checkered,0.9995,1.0,1.0,1.0,0.0,0.0
2,1,3,blended_checkered,0.8828,0.452,0.6714,0.4504,0.0016,-0.2194
4,1,3,blended_checkered,0.7515,0.88,0.2496,0.5226,0.3574,0.6304
5,1,3,blended_checkered,1.0,0.2037,0.1743,0.1166,0.0871,0.0294
"1,2",2,3,blended_checkered,0.992,1.0,,1.0,0.0,
"1,2,4",3,3,blended_checkered,0.9942,0.9998,,1.0,-0.0002,
"1,2,4,5",4,3,blended_checkered,0.9923,0.9996,,1.0,-0.0004,
1,1,4,backdoor_trigger,0.9994,0.5565,0.5243,0.5096,0.0469,0.0322
2,1,4,backdoor_trigger,0.8879,0.5072,0.4346,0.4265,0.0807,0.0726
3,1,4,backdoor_trigger,1.0,0.5277,0.4073,0.4335,0.0942,0.1204
5,1,4,backdoor_trigger,1.0,0.4788,0.4684,0.4535,0.0253,0.0104
"1,2",2,4,backdoor_trigger,0.9936,0.567,,0.4551,0.1119,
"1,2,3",3,4,backdoor_trigger,0.9946,0.5514,,0.4044,0.147,
"1,2,3,5",4,4,backdoor_trigger,0.9974,0.5589,,0.4503,0.1086,
1,1,5,ood_mnist,0.9993,0.0209,0.0077,0.0219,-0.001,0.0132
2,1,5,ood_mnist,0.8754,0.8711,0.8862,0.8651,0.006,-0.0151
3,1,5,ood_mnist,1.0,0.0163,0.0697,0.1323,-0.116,-0.0534
4,1,5,ood_mnist,0.7473,0.7,0.7995,0.8079,-0.1079,-0.0995
"1,2",2,5,ood_mnist,0.9905,0.6837,,0.4268,0.2569,
"1,2,3",3,5,ood_mnist,0.9944,0.6948,,0.5432,0.1516,
"1,2,3,4",4,5,ood_mnist,0.9947,0.732,,0.8308,-0.0988,
